seed,episode,algorithm,total_reward,episode_length,vulnerabilities,confirmed_vulnerabilities,endpoints_discovered,endpoint_coverage,steps_to_first_finding,success,logged_in,vuln_types
42,0,random,-8.749999999999998,100,0,0,24,0.9,,False,False,[]
42,1,random,-10.65,100,0,0,24,0.9,,False,False,[]
42,2,random,-11.449999999999996,100,0,0,25,0.9,,False,False,[]
42,3,random,-1.0499999999999996,100,0,0,24,0.9,,False,False,[]
42,4,random,-3.4499999999999966,100,0,0,24,0.9,,False,False,[]
42,5,random,1.7500000000000027,100,0,0,24,0.9,,True,False,[]
42,6,random,-14.049999999999994,100,0,0,24,0.9,,False,False,[]
42,7,random,-8.55,100,0,0,24,0.9,,False,False,[]
42,8,random,5.350000000000004,100,0,0,24,0.9,,True,False,[]
42,9,random,-14.449999999999994,100,0,0,25,0.9,,False,False,[]
123,0,random,-3.349999999999993,100,0,0,24,0.9,,False,False,[]
123,1,random,-7.199999999999994,100,0,0,23,0.8,,False,False,[]
123,2,random,-5.9499999999999975,100,0,0,24,0.9,,False,False,[]
123,3,random,-4.649999999999999,100,0,0,25,0.9,,False,False,[]
123,4,random,-7.249999999999998,100,0,0,24,0.9,,False,False,[]
123,5,random,-0.8499999999999984,100,0,0,25,0.9,,False,False,[]
123,6,random,-1.3499999999999968,100,0,0,24,0.9,,False,False,[]
123,7,random,-4.549999999999999,100,0,0,24,0.9,,False,False,[]
123,8,random,-4.849999999999999,100,0,0,25,0.9,,False,False,[]
123,9,random,-4.349999999999998,100,0,0,24,0.9,,False,False,[]
456,0,random,-10.949999999999996,100,0,0,24,0.9,,False,False,[]
456,1,random,-1.8499999999999994,100,0,0,24,0.9,,False,False,[]
456,2,random,-9.549999999999995,100,0,0,24,0.9,,False,False,[]
456,3,random,-11.049999999999994,100,0,0,24,0.9,,False,False,[]
456,4,random,-4.249999999999998,100,0,0,24,0.9,,False,False,[]
456,5,random,-2.649999999999997,100,0,0,24,0.9,,False,False,[]
456,6,random,-8.450000000000001,100,0,0,24,0.9,,False,False,[]
456,7,random,-1.7500000000000004,100,0,0,25,0.9,,False,False,[]
456,8,random,-15.849999999999994,100,0,0,24,0.9,,False,False,[]
456,9,random,-7.349999999999995,100,0,0,24,0.9,,False,False,[]
789,0,random,-9.249999999999995,100,0,0,24,0.9,,False,False,[]
789,1,random,-4.149999999999998,100,0,0,24,0.9,,False,False,[]
789,2,random,-3.349999999999995,100,0,0,24,0.9,,False,False,[]
789,3,random,0.8500000000000012,100,0,0,24,0.9,,True,False,[]
789,4,random,-3.2499999999999987,100,0,0,24,0.9,,False,False,[]
789,5,random,1.7500000000000018,100,0,0,25,0.9,,True,False,[]
789,6,random,-7.6499999999999995,100,0,0,24,0.9,,False,False,[]
789,7,random,-12.449999999999992,100,0,0,24,0.9,,False,False,[]
789,8,random,1.9500000000000044,100,0,0,24,0.9,,True,False,[]
789,9,random,-4.549999999999998,100,0,0,25,0.9,,False,False,[]
1011,0,random,-6.149999999999994,100,0,0,24,0.9,,False,False,[]
1011,1,random,-4.550000000000001,100,0,0,24,0.9,,False,False,[]
1011,2,random,-5.849999999999997,100,0,0,25,0.9,,False,False,[]
1011,3,random,-3.549999999999997,100,0,0,24,0.9,,False,False,[]
1011,4,random,-12.649999999999991,100,0,0,24,0.9,,False,False,[]
1011,5,random,-9.649999999999995,100,0,0,24,0.9,,False,False,[]
1011,6,random,-5.4499999999999975,100,0,0,25,0.9,,False,False,[]
1011,7,random,-10.349999999999994,100,0,0,24,0.9,,False,False,[]
